@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE HomeTotalShots NUMERIC
@ATTRIBUTE AwayTotalShots NUMERIC
@ATTRIBUTE HomeShotsTarget NUMERIC
@ATTRIBUTE AwayShotsTarget NUMERIC
@ATTRIBUTE HomeTotalShotsAgst NUMERIC
@ATTRIBUTE AwayTotalShotsAgst NUMERIC
@ATTRIBUTE HomeShotsTargetAgst NUMERIC
@ATTRIBUTE AwayShotsTargetAgst NUMERIC
@ATTRIBUTE HomePossession NUMERIC
@ATTRIBUTE AwayPossession NUMERIC
@ATTRIBUTE HomeExpectedWin NUMERIC
@ATTRIBUTE AwayExpectedWin NUMERIC
@ATTRIBUTE Winner {H, D, A}
@data
1.72,1.52,1,0.25,1.33,0,0.5,0.5,0.75,0.5,1,0.33,0.5,0.5,1,2.5,1,3,1,1,11.53,11.18,3.63,3.61,13.61,14.11,4.66,4.76,45.24,46.29,0.26,0.36,H
2.39,1.47,0.5,1,0.33,0.33,1,1.5,0.75,1,0.67,1,1,1,1.5,1.5,1.67,2,1,1,14.42,10.55,4.71,3.84,11.45,13.63,3.37,4.87,54.42,47.89,0.37,0.54,H
4.63,0.77,2,0.25,2.33,0.33,2,0.5,1.75,0.75,2,0.67,1,1,0.5,2,0.33,2,0.5,1.5,17.61,10.18,6.76,3.18,9.18,17.76,2.92,6.53,60.53,39.53,0.54,0.25,H
0.7,5.74,1.75,1.75,1.33,2.33,1.5,2,1.25,2,1,1.67,1,1.5,0.75,1.5,0.67,0.67,1,0.5,10.34,14.82,3.32,5.21,16.55,11.37,5.66,4.39,45.84,58.87,0.25,0.54,A
2.11,0.82,1,1,1.33,1.33,2,0,1,0.75,1,1,1,0,1.75,1.25,1.67,1.33,0.5,3,11.39,10.26,3.82,3.16,14.61,17.55,5.03,5.55,41.92,40.08,0.36,0.34,H
6.4,1.22,3,1,3,1.33,3,0.5,2.75,0.75,3,0.67,2.5,0.5,1,1.25,1,0.67,1,1,16.63,11.79,5.66,4.24,7.84,14.53,2.79,4.95,65.03,51.42,0.54,0.42,H
1.05,2.37,1,0.75,0.33,1,0.5,0,0.5,1.25,0.33,1.33,0.5,1,0.75,2.25,1,2.33,1,2.5,10.47,13.05,3.24,3.63,13.61,13.16,4.26,4.76,37.13,47.11,0.25,0.36,H
2.95,0.89,2.5,1.25,3,1.33,2,2,1.75,1,2,1,1,1,0.5,1,0.33,1,0.5,0.5,13.11,9.18,5.03,2.63,11.68,14.45,3.84,4.53,51.95,47.29,0.26,0.25,H
5.97,4.57,2.5,1.75,2.33,1.33,3,1.33,2.25,2.25,2.33,1.67,2.5,1.67,1,1.75,1,1.33,0.5,2,15.26,16.79,5.37,6.21,8.47,8.08,2.71,3,55.03,62.03,0.54,0.50,A
1.27,5.58,1,2.25,1,2,0,3,1.75,1.75,2,1.33,1,2,2,0.75,2.33,0.67,2.5,0.5,11.11,15.53,3.79,5.53,14.16,9.42,4.97,3,46.03,56.39,0.25,0.37,H
2.37,2.39,0.6,1,0,1.33,1.5,0,1.4,0.8,1.67,1,1.5,0.5,2.6,1.2,3.67,1,2,2,13.05,14.42,3.63,4.71,13.16,11.45,4.76,3.37,47.11,54.42,0.36,0.37,A
5.58,2.11,1.8,1.4,1,2,1.5,0,1.6,1.4,1,2,1.5,1,1.2,1.4,1.67,1.67,1,3,15.53,11.39,5.53,3.82,9.42,14.61,3,5.03,56.39,41.92,0.37,0.36,H
1.22,2.95,0.8,2.6,1.33,3,1.5,3,0.6,2,0.67,2.33,1,2.5,1.8,0.6,1.67,0.33,1.5,0.5,11.79,13.11,4.24,5.03,14.53,11.68,4.95,3.84,51.42,51.95,0.42,0.26,H
4.57,0.7,2,1.4,2.33,0.33,3,2,2.2,1.2,2.33,0.67,4,1.5,1.6,1.4,1,2,1,0.5,16.79,10.34,6.21,3.32,8.08,16.55,3,5.66,62.03,45.84,0.50,0.25,H
0.89,4.63,1,2.2,0.33,2.33,0.5,2,1,1.6,0.67,2,1,2.5,1.4,0.4,1.67,0.33,1.5,0.5,9.18,17.61,2.63,6.76,14.45,9.18,4.53,2.92,47.29,60.53,0.25,0.54,A
1.52,1.05,0.2,1.4,0,1.33,0,1.5,0.6,1.2,0.33,1.33,0.5,0.5,2.8,1,3,1,4,0.5,11.18,10.47,3.61,3.24,14.11,13.61,4.76,4.26,46.29,37.13,0.36,0.25,D
0.77,1.72,0.2,1.4,0.33,2.33,0,1.5,0.6,1.4,0.33,2.33,0.5,1,1.8,1,1.67,1,2.5,1,10.18,11.53,3.18,3.63,17.76,13.61,6.53,4.66,39.53,45.24,0.25,0.26,A
1.47,6.4,0.8,3,0.33,3,0.5,3,0.8,3,1,3,1,3,1.4,0.8,1.67,0.67,2,1,10.55,16.63,3.84,5.66,13.63,7.84,4.87,2.79,47.89,65.03,0.54,0.54,A
5.74,5.97,2,2,3,1.33,1.5,2,2.4,2,3,2,2.5,2,1.4,1.2,1,1.33,2.5,1.5,14.82,15.26,5.21,5.37,11.37,8.47,4.39,2.71,58.87,55.03,0.54,0.54,H
0.82,1.27,0.8,1.4,0.33,2,1.33,2,0.6,2,0.33,2.67,1,2.5,1.6,1.8,2.33,2,0.67,1.5,10.26,11.11,3.16,3.79,17.55,14.16,5.55,4.97,40.08,46.03,0.34,0.25,H
5.58,1.52,2,0.33,1,0.33,2,0.33,2,0.67,2,0.67,2.33,0.67,1.17,2.5,2,3,1,2,15.53,11.18,5.53,3.61,9.42,14.11,3,4.76,56.39,46.29,0.37,0.36,D
2.11,2.39,1.17,1.33,1,2,2.33,1,1.33,1.17,1.67,1.67,1.67,1.33,1.83,1,2.67,0.67,0.33,1.33,11.39,14.42,3.82,4.71,14.61,11.45,5.03,3.37,41.92,54.42,0.36,0.37,D
4.63,6.4,2.33,3,3,3,2.33,3,1.67,3,2.33,3,1,3,0.5,0.83,0.33,0.67,0.33,1,17.61,16.63,6.76,5.66,9.18,7.84,2.92,2.79,60.53,65.03,0.54,0.54,H
0.82,5.74,1.17,2.17,1.33,3,1.75,2.33,0.83,2.5,1,3,1.25,2.33,1.33,1.17,1.33,0.67,0.5,0.67,10.26,14.82,3.16,5.21,17.55,11.37,5.55,4.39,40.08,58.87,0.34,0.54,A
1.47,4.57,0.67,2.17,0.33,3,0.33,1.75,0.83,2.67,1,3.67,1,1.75,1.67,1.5,2,1,2.33,1.75,10.55,16.79,3.84,6.21,13.63,8.08,4.87,3,47.89,62.03,0.54,0.50,A
0.7,5.97,1.17,1.67,0.33,0.33,1,1.33,1.17,1.67,1,1,1,1.33,2,1.5,3.33,2.33,2,2,10.34,15.26,3.32,5.37,16.55,8.47,5.66,2.71,45.84,55.03,0.25,0.54,A
0.77,1.05,0.17,1.33,0,1.33,0,1.33,0.83,1.17,0.67,1.67,1,0.67,2,1,2.33,1.33,2.67,0.67,10.18,10.47,3.18,3.24,17.76,13.61,6.53,4.26,39.53,37.13,0.25,0.25,D
1.27,1.22,1.17,1.17,2,2,1,0.33,1.67,0.67,2.33,0.67,1.67,0.33,1.83,1.5,1.67,1.33,2,2,11.11,11.79,3.79,4.24,14.16,14.53,4.97,4.95,46.03,51.42,0.25,0.42,D
2.37,0.89,0.5,0.83,0,0,1,1.33,1.17,1,1.33,1,1,1,2.67,1.5,3.67,2.33,2.33,1.33,13.05,9.18,3.63,2.63,13.16,14.45,4.76,4.53,47.11,47.29,0.36,0.25,D
2.95,1.72,2.17,1.67,2,3,2.33,2,1.67,1.67,2,3,1.67,1.67,0.67,1.17,0.67,1.33,0.67,1.33,13.11,11.53,5.03,3.63,11.68,13.61,3.84,4.66,51.95,45.24,0.26,0.26,D
0.89,1.27,0.86,1.14,0.33,1.33,0.33,1.33,1,1.71,1,1.67,1,1.67,1.43,1.86,2,1.67,1.67,1.67,9.18,11.11,2.63,3.79,14.45,14.16,4.53,4.97,47.29,46.03,0.25,0.25,A
5.97,2.11,1.86,1.14,1,1.33,2,0,1.71,1.14,1,1.33,2,1,1.29,1.57,1.67,1.33,1,3.33,15.26,11.39,5.37,3.82,8.47,14.61,2.71,5.03,55.03,41.92,0.54,0.36,H
1.22,0.7,1.14,1,1.33,0,2,1.33,0.86,1,1,0.67,1,1.33,1.57,2,2,3.67,1,2,11.79,10.34,4.24,3.32,14.53,16.55,4.95,5.66,51.42,45.84,0.42,0.25,H
6.4,2.95,2.57,2,2,1.33,3,2,2.57,1.57,2.33,1.33,3,1.67,1,0.71,1,1,0.67,0.67,16.63,13.11,5.66,5.03,7.84,11.68,2.79,3.84,65.03,51.95,0.54,0.26,D
1.52,0.77,0.43,0.29,0.67,0.33,0.33,0.33,0.71,0.86,1,1,0.67,0.67,2.29,1.86,2,1.67,3,1.33,11.18,10.18,3.61,3.18,14.11,17.76,4.76,6.53,46.29,39.53,0.36,0.25,H
1.05,4.63,1.29,2.43,1.67,3,1.33,2.33,1.14,1.71,2,1.67,1.67,2.33,1,0.43,1.33,0.33,1.33,0.67,10.47,17.61,3.24,6.76,13.61,9.18,4.26,2.92,37.13,60.53,0.25,0.54,D
1.72,2.37,1.57,0.57,2.33,0.33,1.33,0,1.57,1.14,2.67,1,1.67,1.33,1.14,2.43,1.33,2.67,1,3,11.53,13.05,3.63,3.63,13.61,13.16,4.66,4.76,45.24,47.11,0.26,0.36,A
5.74,1.47,2.29,0.57,3,0,2,1,2.29,0.86,2.67,0.67,2.67,0.67,1,1.71,0.33,2,1.67,1,14.82,10.55,5.21,3.84,11.37,13.63,4.39,4.87,58.87,47.89,0.54,0.54,H
2.39,0.82,1.29,1,2.33,1,1.67,0,1,0.71,1.33,0.67,1,0,0.86,1.29,0,1.33,0.67,3,14.42,10.26,4.71,3.16,11.45,17.55,3.37,5.55,54.42,40.08,0.37,0.34,H
4.57,5.58,2.29,1.86,3,1.33,3,2,2.57,1.86,3,2,4.5,1.67,1.43,1.14,1,1.67,1,1.33,16.79,15.53,6.21,5.53,8.08,9.42,3,3,62.03,56.39,0.50,0.37,D
1.22,4.63,1.38,2.25,2.33,2.33,2.25,2,1.5,1.62,3,1.67,2.25,2,1.5,0.5,1,0.67,1,0.75,11.79,17.61,4.24,6.76,14.53,9.18,4.95,2.92,51.42,60.53,0.42,0.54,D
5.74,0.89,2.38,0.75,3,0.33,2.25,1.25,2.38,0.88,2.33,0.67,2.75,1,1.12,1.38,0.67,1.33,1.75,1.25,14.82,9.18,5.21,2.63,11.37,14.45,4.39,4.53,58.87,47.29,0.54,0.25,D
0.82,2.95,0.88,1.88,1,0.67,1.4,1.75,0.75,1.5,1,0.67,1,1.5,1.5,0.75,1.33,1,0.6,0.75,10.26,13.11,3.16,5.03,17.55,11.68,5.55,3.84,40.08,51.95,0.34,0.26,H
0.7,1.52,0.88,0.75,0,1.67,0.75,0.5,1,0.88,0.67,1.33,0.75,0.75,2.5,2,4.33,0.67,2,1.75,10.34,11.18,3.32,3.61,16.55,14.11,5.66,4.76,45.84,46.29,0.25,0.36,A
2.11,1.72,1,1.38,0.33,1.33,2,1.75,1,1.38,0.33,1.33,1.25,1.5,1.75,1.12,2.33,1.33,0.25,1.25,11.39,11.53,3.82,3.63,14.61,13.61,5.03,4.66,41.92,45.24,0.36,0.26,H
1.47,1.27,0.5,1.38,0,1.33,0.25,1.75,1,1.62,1.33,1,1,1.5,1.88,1.62,2.67,1.33,2.25,1.25,10.55,11.11,3.84,3.79,13.63,14.16,4.87,4.97,47.89,46.03,0.54,0.25,D
2.37,0.77,0.88,0.25,1.33,0.33,1,0.25,1.12,0.75,0.67,1,1,0.5,2.12,1.88,1.33,2,2,1.5,13.05,10.18,3.63,3.18,13.16,17.76,4.76,6.53,47.11,39.53,0.36,0.25,H
4.57,1.05,2.12,1.25,2.33,1,2.33,1.25,2.25,1.12,2.33,1,3,0.75,1.25,1,0.67,1,0.67,0.75,16.79,10.47,6.21,3.24,8.08,13.61,3,4.26,62.03,37.13,0.50,0.25,H
6.4,2.39,2.38,1.5,1.33,2.33,2.5,1,2.38,1.25,1.33,2,2.5,1,1,0.88,1.33,0.33,0.75,1,16.63,14.42,5.66,4.71,7.84,11.45,2.79,3.37,65.03,54.42,0.54,0.37,D
5.97,5.58,2,1.75,2,1.67,2.25,1.75,1.88,1.62,1.67,1.67,2.25,1.25,1.12,1,1,0.67,0.75,1,15.26,15.53,5.37,5.53,8.47,9.42,2.71,3,55.03,56.39,0.54,0.37,H
2.95,2.37,1.67,1.11,0.67,2.33,2,0.75,1.44,1.11,1,1,1.5,1.25,0.89,1.89,1.33,0.33,0.75,2.25,13.11,13.05,5.03,3.63,11.68,13.16,3.84,4.76,51.95,47.11,0.26,0.36,H
2.39,5.97,1.44,2.11,1.67,3,2,1.75,1.22,2.11,1.33,3,1.5,1.5,0.89,1,0.67,0,0.75,1.5,14.42,15.26,4.71,5.37,11.45,8.47,3.37,2.71,54.42,55.03,0.37,0.54,A
0.77,5.74,0.22,2.22,0.33,2.33,0.25,2.5,0.67,2.11,0.33,1.33,1,2,1.78,1,1.33,0.67,2.25,0.5,10.18,14.82,3.18,5.21,17.76,11.37,6.53,4.39,39.53,58.87,0.25,0.54,A
5.58,0.82,1.56,1.11,0.67,1,1.75,0,1.44,0.89,0.33,1,2,0.33,1.33,1.44,1.67,1.67,1,3,15.53,10.26,5.53,3.16,9.42,17.55,3,5.55,56.39,40.08,0.37,0.34,D
