@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE Winner {H, D, A}
@data
2.37,1.27,1.61,1.24,1,1.33,1.75,1.31,1.64,0.97,2.33,0.67,1.69,1.06,1.27,1.12,2.33,1.67,1.19,1.38,H
2.37,5.74,1.65,1.87,1.67,2.33,1.8,1.75,1.58,1.68,2.33,2.67,1.6,1.81,1.19,0.97,2,0.67,1.07,1.25,D
2.37,0.77,1.54,0.88,1.33,1.33,1.67,0.62,1.54,1.23,1.33,1.33,1.67,1.31,1.19,1.92,1,1.33,1.17,2.77,H
2.37,5.97,1.89,1.22,1.67,1.33,1,1,2.22,1.56,2.33,1.67,2,1.5,1.33,1.89,1.67,1.67,2,2.5,H
2.37,1.52,1.53,1.47,0.67,2,1.29,1.5,1.67,0.87,0.67,1,1.71,0.75,1.4,0.93,1.67,0.67,1.57,0.88,D
2.37,2.39,1.44,1.33,1,1,1.25,1.25,1.44,1.39,0.33,1.33,1.5,1,1.22,1.17,0.33,1,1.38,1,H
2.37,4.57,1.53,1.58,1.67,2,1.44,1.5,1.47,1.16,1,0.67,1.56,1.1,1.21,1.16,0.67,1,1.33,1.1,H
0.61,2.37,0.92,1.56,0,1.33,1.25,1.46,1.12,1.52,1.33,1.33,1.33,1.38,1.92,1.16,3.33,1,1.5,1.15,D
0.61,2.11,1.29,1.71,1.67,1.33,1.33,1.67,1.57,2.14,2,2.33,1.67,1.67,1.71,2,1.33,3,1.67,1.33,A
0.61,0.72,0.94,0.44,1.33,0.67,1.12,0.56,1.11,0.83,1,0.67,1.12,1,1.78,1.78,1.67,1.33,1.25,2.11,H
0.61,4.63,1,1.83,0,2,1.36,1.82,1.22,1.78,1.67,2.33,1.45,1.73,1.87,0.83,3.67,1,1.36,0.91,A
0.61,2.95,0.87,1.47,0.33,1.67,1.14,1.43,1.13,1.87,0.33,2.67,1.14,1.57,1.8,1.33,1.33,1.33,1.29,1.14,D
0.61,6.4,0.83,1.79,0,1,1.14,1.46,1.07,1.86,0.33,1.67,1.36,1,1.86,1.11,1.33,1.67,1.57,1.08,D
0.61,1.05,1,1.22,0.33,1,1,1.75,1.56,0.78,1.67,1,1.5,0.5,2.22,1.22,3.33,1.67,1.75,0.5,A
0.61,5.74,0.92,2,1,1.33,1.17,2.14,1.23,1.77,0.67,1.67,1.17,2.14,1.85,0.85,1,1,1.33,1,D
0.61,0.77,0.94,0.84,2,0.67,1.25,0.62,1.06,1.12,1.33,0.33,1.38,1.19,1.73,1.78,1,1,1.5,2.44,A
0.61,5.97,0.89,1.33,0.33,2.33,1.23,1.23,1.11,1.48,0.67,2.67,1.38,1.08,1.89,1.37,1.67,1,1.54,1.23,A
