West Bromwich Albion VS. Liverpool (Winner): Away (75)	V
Middlesbrough VS. Arsenal (Winner): Away (70)	V
Southampton VS. Manchester City (Winner): Home (70)	X
Stoke City VS. Hull City (Winner): Away (70)	X
Tottenham Hotspur VS. Bournemouth (Winner): Home (70)	V
Watford VS. Swansea City (Winner): Home (70)	V
Tottenham Hotspur VS. Bournemouth (Goals): Over (66.44)	V
Sunderland VS. West Ham United (Winner): Away (60)	X
Manchester United VS. Chelsea (Winner): Away (55)	X
Crystal Palace VS. Leicester City (Goals): Over (51.12)	V
