HomeValue,AwayValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,HomeTeamOdds,DrawOdds,AwayTeamOdds,IsHomeFavorite,CompetitionID,Winner,Over2.5,
0.0783,0.0901,0.16,0.11,0,0.13,0.19,0.06,0.12,0.13,0.07,0.2,0.12,0.1,0.1,0.14,0.09,0.16,0.2,0.17,0.04,0.19,0.11,0.17,0.14,0.13,0.08,0.1,0.04,0.05,0.08,0.09,0.03,0.05,0.08,0.09,0.04,0.04,0.58,0.57,0.38,0.33,-0.03,0,0.0669,0.0274,0.075,0.058,0.02,0.021,0.031,0.036,0.038,0.029,0.18,2.5,3.2,3.1,1,2,D,0
0.0783,0.0152,0.16,0.14,0.13,0.13,0.17,0.13,0.12,0.1,0.13,0.1,0.11,0.09,0.12,0.1,0.09,0.11,0.13,0.13,0.04,0.12,0.09,0.12,0.12,0.09,0.08,0.09,0.04,0.03,0.08,0.1,0.03,0.05,0.09,0.08,0.04,0.03,0.58,0.5,0.38,0.36,-0.01,-0.01,0.0735,0.0663,0.075,0.058,0.02,0.025,0.031,0.032,0.037,0.043,0.23,1.6,3.8,6.1,1,2,H,1
0.0783,0.0209,0.17,0.14,0.23,0.2,0.19,0.1,0.13,0.14,0.2,0.17,0.12,0.09,0.15,0.13,0.09,0.11,0.13,0.03,0.04,0.11,0.09,0.08,0.12,0.11,0.08,0.1,0.04,0.04,0.08,0.09,0.03,0.04,0.08,0.09,0.04,0.04,0.58,0.5,0.38,0.57,0.01,0.02,0.0769,0.0447,0.075,0.047,0.02,0.024,0.03,0.031,0.037,0.034,0.22,2.0,3.4,4.3,1,2,A,0
0.0783,0.109,0.18,0.18,0.13,0.13,0.2,0.2,0.08,0.05,0.07,0.03,0.05,0.05,0.06,0.04,0.05,0.08,0.07,0.1,0,0,0.04,0.06,0.06,0.04,0.08,0.11,0.04,0.05,0.08,0.08,0.03,0.04,0.08,0.1,0.04,0.04,0.58,0.57,0.38,0.31,-0.01,-0.01,0.0865,0.05,0.075,0.051,0.02,0.021,0.051,0.107,0.067,0.047,0.04,1.9,3.4,4.4,1,2,H,1
0.0783,0.0147,0.16,0.1,0.03,0.17,0.18,0.07,0.12,0.08,0.03,0.03,0.11,0.08,0.09,0.06,0.08,0.13,0.13,0,0.03,0.13,0.08,0.09,0.09,0.07,0.08,0.08,0.04,0.04,0.08,0.1,0.03,0.04,0.09,0.08,0.04,0.04,0.58,0.52,0.38,0.45,0,0,0.0681,0.0383,0.075,0.063,0.02,0.023,0.033,0.044,0.04,0.035,0.19,1.5,4.1,7.8,1,2,H,1
0.0299,0.0783,0.09,0.19,0.17,0.17,0.09,0.18,0.12,0.13,0.2,0.1,0.11,0.14,0.14,0.12,0.2,0.07,0.17,0.07,0.17,0.11,0.18,0.08,0.11,0.15,0.08,0.08,0.04,0.04,0.09,0.08,0.04,0.03,0.08,0.08,0.04,0.04,0.52,0.58,0.28,0.38,0.01,0,0.0343,0.0802,0.061,0.075,0.023,0.02,0.031,0.029,0.021,0.05,0.15,3.2,3.2,2.4,0,2,H,1
0.0299,0.0292,0.10,0.16,0.07,0.23,0.11,0.16,0.11,0.15,0,0.17,0.11,0.14,0.07,0.15,0.17,0.12,0.07,0.07,0.14,0.11,0.13,0.1,0.09,0.14,0.08,0.11,0.04,0.05,0.09,0.1,0.04,0.04,0.09,0.1,0.04,0.05,0.52,0.48,0.28,0.27,0,0.02,0.0421,0.0923,0.061,0.044,0.023,0.022,0.034,0.033,0.024,0.038,0.2,2.0,3.6,3.8,1,2,A,1
0.0299,0.0085,0.1,0.11,0.03,0.2,0.1,0.07,0.11,0.11,0.03,0.13,0.11,0.11,0.08,0.12,0.18,0.17,0.17,0.1,0.16,0.23,0.17,0.16,0.12,0.14,0.08,0.08,0.04,0.03,0.09,0.1,0.04,0.05,0.09,0.09,0.04,0.04,0.52,0.46,0.28,0.27,-0.01,-0.01,0.0401,0.0382,0.061,0.054,0.023,0.024,0.034,0.03,0.023,0.027,0.21,1.9,3.5,4.4,1,2,H,1
0.0299,0.0203,0.11,0.17,0.3,0.23,0.11,0.2,0.13,0.14,0.17,0.13,0.12,0.14,0.14,0.14,0.19,0.09,0.07,0.07,0.16,0.09,0.14,0.08,0.11,0.14,0.08,0.09,0.04,0.04,0.09,0.1,0.04,0.05,0.09,0.09,0.04,0.04,0.52,0.46,0.28,0.27,0.03,0.02,0.0456,0.0657,0.061,0.049,0.023,0.023,0.029,0.03,0.022,0.049,0.17,2.2,3.4,3.5,1,2,D,0
0.0299,0.0794,0.09,0.16,0.03,0.17,0.12,0.12,0.12,0.12,0.1,0.2,0.1,0.1,0.11,0.14,0.19,0.08,0.27,0.1,0.08,0.1,0.18,0.09,0.1,0.16,0.08,0.13,0.04,0.07,0.09,0.07,0.04,0.03,0.08,0.11,0.03,0.05,0.52,0.57,0.28,0.34,-0.01,0,0.02,0.0703,0.061,0.045,0.023,0.019,0.031,0.055,0.022,0.042,0.09,3.4,3.4,2.2,0,2,A,1
0.0299,0.0491,0.07,0.15,0.03,0.23,0.08,0.15,0.11,0.18,0.07,0.37,0.08,0.13,0.09,0.23,0.21,0.12,0.17,0.1,0.15,0.08,0.18,0.1,0.09,0.2,0.08,0.09,0.04,0.05,0.09,0.1,0.04,0.05,0.09,0.09,0.04,0.04,0.52,0.52,0.28,0.36,0,0.01,0.015,0.0553,0.061,0.057,0.023,0.02,0.035,0.025,0.02,0.04,0.13,2.6,3.5,2.7,1,2,D,1
