HomeValue,AwayValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,Winner,Over2.5
0.0061,0.0435,0.1,0.1,0.1,0.1,0.2,0.03,0.07,0.06,0.07,0.07,0.13,0.03,0.09,0.05,0.13,0.17,0.13,0.2,0.1,0.23,0.12,0.2,0.15,0.09,0.1,0.09,0.03,0.03,0.14,0.14,0.05,0.05,0.12,0.12,0.04,0.04,0.44,0.46,0.38,0.37,-0.01,-0.01,0.0144,0.0279,0.044,0.048,0.032,0.029,0.043,0.057,0.11,0.083,0.07,D,FALSE
0.0165,0.0559,0.17,0.19,0.13,0.23,0.07,0.03,0.16,0.16,0.13,0.13,0.1,0,0.13,0.1,0.17,0.11,0.3,0,0.3,0.17,0.26,0.09,0.11,0.18,0.12,0.16,0.04,0.06,0.11,0.11,0.04,0.04,0.11,0.13,0.04,0.05,0.5,0.62,0.27,0.37,0,0.02,0.0399,0.0409,0.043,0.04,0.032,0.025,0.023,0.04,0.064,0.098,0.07,H,TRUE
0.0834,0.0164,0.2,0.06,0.23,0.13,0.07,0,0.2,0.06,0.23,0.1,0.07,0.03,0.17,0.06,0.07,0.16,0.07,0.1,0.1,0.2,0.08,0.15,0.16,0.07,0.16,0.12,0.06,0.04,0.09,0.14,0.03,0.05,0.15,0.11,0.05,0.04,0.62,0.48,0.38,0.38,0.02,0,0.0439,0.0074,0.038,0.039,0.029,0.029,0.028,0.073,0.132,0.092,0.07,H,FALSE
0.0147,0.0051,0.07,0.13,0.03,0.07,0,0.13,0.04,0.07,0.03,0.03,0.03,0.1,0.04,0.07,0.11,0.1,0.1,0.17,0.23,0.07,0.15,0.11,0.07,0.11,0.09,0.1,0.03,0.03,0.14,0.12,0.05,0.04,0.1,0.12,0.04,0.04,0.45,0.46,0.26,0.4,-0.02,-0.01,0.0249,0.0265,0.051,0.048,0.031,0.033,0.067,0.04,0.124,0.116,0.07,H,FALSE
0.1006,0.0152,0.27,0.11,0.3,0.1,0.23,0.03,0.31,0.1,0.4,0.1,0.37,0.07,0.36,0.09,0.03,0.16,0,0.23,0.03,0.13,0.02,0.17,0.27,0.05,0.17,0.1,0.07,0.03,0.06,0.15,0.02,0.06,0.16,0.08,0.06,0.03,0.72,0.41,0.49,0.36,0.05,0.01,0.1081,0.0491,0.042,0.041,0.025,0.029,0.022,0.035,0.211,0.097,0.07,H,TRUE
0.0215,0.0874,0,0.19,0,0.13,0,0.3,0,0.17,0,0.13,0,0.27,0,0.19,0.24,0.09,0.33,0.03,0.2,0.07,0.26,0.06,0.03,0.22,0.12,0.16,0.04,0.06,0.12,0.1,0.05,0.03,0.11,0.14,0.04,0.05,0.45,0.56,0.54,0.37,-0.06,-0.01,0,0.0832,0.036,0.035,0.032,0.028,0,0.034,0.051,0.115,0.07,H,TRUE
0.0082,0.0286,0.17,0.1,0.17,0.13,0.13,0.02,0.1,0.1,0.07,0.1,0.03,0.05,0.07,0.08,0.07,0.19,0.03,0.1,0.03,0.25,0.05,0.18,0.12,0.06,0.1,0.1,0.03,0.04,0.15,0.15,0.04,0.05,0.12,0.12,0.04,0.04,0.44,0.45,0.33,0.45,0.01,0.01,0.0908,0.01,0.044,0.046,0.029,0.028,0.035,0.035,0.211,0.08,0.07,D,FALSE
0.0899,0.0855,0.17,0.27,0.17,0.3,0.23,0.23,0.19,0.3,0.17,0.3,0.2,0.23,0.18,0.28,0.17,0.03,0.13,0,0.03,0.07,0.11,0.03,0.11,0.2,0.17,0.13,0.06,0.05,0.07,0.11,0.03,0.04,0.14,0.1,0.05,0.04,0.61,0.55,0.36,0.37,0,0.03,0.0535,0.0743,0.036,0.041,0.027,0.029,0.033,0.016,0.043,0.396,0.07,D,FALSE
0.0333,0.0105,0.07,0.13,0.07,0.07,0.1,0.1,0.13,0.09,0.1,0.07,0.17,0.07,0.13,0.07,0.17,0.11,0.13,0.13,0.17,0.17,0.16,0.14,0.14,0.12,0.11,0.1,0.04,0.03,0.13,0.14,0.04,0.04,0.12,0.11,0.04,0.04,0.48,0.4,0.27,0.44,0,0,0.0057,0.0192,0.042,0.041,0.028,0.033,0.031,0.035,0.075,0.119,0.07,D,FALSE
0.0834,0.0899,0.21,0.16,0.3,0.17,0.12,0.12,0.19,0.16,0.27,0.13,0.08,0.18,0.18,0.16,0.06,0.15,0.07,0.1,0.08,0.28,0.07,0.18,0.18,0.11,0.16,0.17,0.06,0.06,0.09,0.07,0.03,0.03,0.12,0.13,0.04,0.05,0.62,0.61,0.38,0.36,0.03,0,0.0446,0.0575,0.038,0.036,0.029,0.027,0.03,0.038,0.151,0.049,0.08,H,TRUE
