HomeValue,HomeNormValue,AwayValue,AwayNormValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,HomeTeamOdds,DrawOdds,AwayTeamOdds,isHomeFavorite,isAwayFavorite,HomeWon,AwayWon,Favorite,Winner,FavoriteWins,Over2.5
0.0147,1.47,0.0899,8.99,0.07,0.2,0.13,0.3,0.07,0.19,0.06,0.24,0.1,0.27,0.06,0.26,0.07,0.26,0.15,0.12,0.13,0.17,0.16,0.19,0.15,0.16,0.12,0.2,0.09,0.17,0.03,0.06,0.14,0.07,0.05,0.03,0.08,0.15,0.03,0.06,0.45,0.61,0.26,0.36,0,0.04,0.0142,0.0618,0.051,0.036,0.031,0.027,0.047,0.026,0.093,0.061,0.23,10.73,5.73,1.3,0,1,1,0,A,H,0,0
0.0077,0.77,0.0899,8.99,0.07,0.23,0.1,0.3,0.11,0.2,0.09,0.24,0.1,0.2,0.12,0.2,0.1,0.21,0.18,0.11,0.23,0.03,0.17,0.14,0.19,0.09,0.1,0.2,0.1,0.17,0.03,0.06,0.18,0.08,0.07,0.03,0.09,0.17,0.03,0.06,0.4,0.62,0.26,0.49,-0.02,0.04,0.0135,0.0785,0.039,0.037,0.032,0.027,0.036,0.026,0.097,0.073,0.19,9.72,5.9,1.31,0,1,0,0,A,D,0,1
0.0215,2.15,0.1006,10.06,0.09,0.29,0.13,0.3,0.12,0.3,0.09,0.3,0.2,0.3,0.14,0.25,0.14,0.29,0.16,0.06,0.13,0.03,0.18,0.05,0.16,0.05,0.1,0.22,0.12,0.17,0.04,0.07,0.12,0.06,0.05,0.02,0.09,0.15,0.03,0.06,0.45,0.72,0.54,0.49,-0.01,0.18,0.0288,0.098,0.036,0.042,0.032,0.025,0.043,0.022,0.078,0.102,0.2,9.91,5.72,1.31,0,1,0,0,A,D,0,0
0.0286,2.86,0.1006,10.06,0.1,0.26,0.07,0.2,0.14,0.26,0.12,0.29,0.1,0.33,0.12,0.24,0.12,0.29,0.18,0.07,0.2,0.13,0.13,0.07,0.17,0.09,0.1,0.23,0.1,0.17,0.04,0.07,0.15,0.06,0.05,0.02,0.08,0.16,0.03,0.06,0.45,0.72,0.45,0.49,-0.01,0.02,0.0269,0.0919,0.046,0.042,0.028,0.025,0.028,0.024,0.08,0.083,0.34,9.23,5.66,1.32,0,1,0,1,A,A,1,1
0.0165,1.65,0.1006,10.06,0.2,0.25,0.23,0.23,0.1,0.3,0.18,0.25,0.13,0.27,0.15,0.2,0.15,0.24,0.08,0.05,0,0.07,0.15,0.05,0.08,0.06,0.1,0.16,0.12,0.17,0.04,0.07,0.11,0.06,0.04,0.02,0.09,0.14,0.03,0.06,0.5,0.72,0.27,0.49,0.01,0.02,0.0562,0.0952,0.043,0.042,0.032,0.025,0.02,0.027,0.145,0.122,0.04,9.3,5.74,1.32,0,1,0,1,A,A,1,1
0.0051,0.51,0.0899,8.99,0.1,0.2,0,0.2,0.13,0.18,0.08,0.22,0.03,0.2,0.09,0.24,0.07,0.22,0.17,0.12,0.3,0.17,0.13,0.18,0.2,0.16,0.11,0.21,0.1,0.17,0.03,0.06,0.12,0.07,0.04,0.03,0.08,0.14,0.03,0.05,0.46,0.61,0.4,0.36,-0.03,-0.01,0.0246,0.0592,0.048,0.036,0.033,0.027,0.036,0.027,0.068,0.061,0.24,9.96,5.32,1.32,0,1,0,1,A,A,1,1
0.0147,1.47,0.1006,10.06,0.08,0.3,0.03,0.3,0.05,0.3,0.08,0.3,0.1,0.3,0.1,0.3,0.09,0.3,0.14,0.08,0.17,0.07,0.2,0.1,0.17,0.08,0.09,0.23,0.11,0.17,0.04,0.06,0.14,0.08,0.05,0.03,0.09,0.15,0.03,0.05,0.48,0.65,0.54,0.54,-0.01,0.05,0.0224,0.092,0.045,0.039,0.027,0.029,0.048,0.019,0.097,0.098,0.05,8.92,5.57,1.34,0,1,0,1,A,A,1,1
0.0077,0.77,0.0834,8.34,0.07,0.21,0.03,0.23,0.1,0.16,0.09,0.2,0.1,0.27,0.13,0.18,0.11,0.22,0.19,0.07,0.23,0.07,0.18,0.1,0.2,0.08,0.09,0.21,0.1,0.18,0.03,0.07,0.18,0.09,0.07,0.03,0.1,0.18,0.03,0.07,0.4,0.61,0.26,0.54,-0.02,0,0.0158,0.0641,0.039,0.034,0.032,0.026,0.035,0.033,0.093,0.126,0.22,8.67,5.52,1.35,0,1,0,0,A,D,0,0
0.0082,0.82,0.0559,5.59,0.12,0.22,0.13,0.3,0.18,0.23,0.08,0.25,0.1,0.3,0.12,0.23,0.1,0.26,0.13,0.12,0.13,0.07,0.05,0.07,0.11,0.08,0.09,0.18,0.1,0.15,0.03,0.05,0.18,0.11,0.06,0.04,0.11,0.16,0.04,0.05,0.4,0.59,0.33,0.54,0.01,0.04,0.0544,0.0743,0.039,0.04,0.032,0.028,0.038,0.021,0.132,0.097,0.06,9.43,5.22,1.35,0,1,0,1,A,A,1,0
0.0333,3.33,0.1006,10.06,0.12,0.28,0.23,0.3,0.14,0.3,0.14,0.34,0.2,0.3,0.16,0.28,0.17,0.31,0.14,0.06,0.1,0.1,0.12,0.06,0.12,0.07,0.12,0.22,0.11,0.17,0.04,0.07,0.13,0.06,0.04,0.02,0.09,0.15,0.03,0.06,0.48,0.72,0.27,0.49,0,0.09,0.0218,0.0933,0.042,0.042,0.028,0.025,0.028,0.02,0.088,0.095,0.11,7.89,5.52,1.36,0,1,0,1,A,A,1,0
