,0,1,2
301,note,aux,1
302,note,auxpass,1
303,note,ccomp,2
304,require,COUNT,5
305,require,nsubj,2
306,require,ccomp,1
307,require,advmod,1
308,require,mark,1
309,require,dobj,1
310,require,nsubjpass,1
311,require,auxpass,1
312,require,neg,1
313,require,xcomp,1
314,store,COUNT,1
315,store,mark,1
316,store,nsubjpass,1
317,store,auxpass,1
318,store,prep,1
319,will,COUNT,57
320,order,COUNT,6
321,order,ccomp,2
322,order,advmod,1
323,order,nsubjpass,5
324,order,aux,1
325,order,auxpass,5
326,order,xcomp,1
327,order,cc,2
328,order,conj,3
329,order,prep,2
330,order,agent,1
331,order,dobj,1
332,lay,COUNT,4
333,lay,advmod,3
334,lay,prt,2
335,lay,prep,1
336,lay,npadvmod,1
337,lay,conj,1
338,lay,dobj,1
339,broadcast,COUNT,39
340,broadcast,advmod,9
341,broadcast,aux,5
342,broadcast,dobj,7
343,broadcast,dative,1
344,broadcast,prep,34
345,broadcast,nsubjpass,14
346,broadcast,auxpass,15
347,broadcast,nsubj,8
348,broadcast,agent,4
349,broadcast,det,1
350,broadcast,compound,2
351,broadcast,prt,1
352,broadcast,npadvmod,3
353,broadcast,cc,1
354,broadcast,conj,1
355,broadcast,advcl,1
356,broadcast,oprd,1
357,use,COUNT,134
358,use,agent,8
359,use,prep,86
360,use,nsubj,19
361,use,dobj,40
362,use,nsubjpass,42
363,use,auxpass,58
364,use,conj,6
365,use,xcomp,27
366,use,advmod,32
367,use,aux,12
368,use,cc,4
369,use,advcl,8
370,use,ccomp,4
371,use,mark,3
372,use,meta,1
373,use,npadvmod,1
374,allege,COUNT,2
375,allege,ccomp,1
376,violate,COUNT,2
377,violate,dobj,2
378,violate,mark,1
379,violate,nsubj,1
380,violate,prep,1
381,have,COUNT,354
382,have,nsubj,75
383,have,xcomp,9
384,have,dobj,85
385,have,prep,17
386,have,advcl,6
387,have,cc,7
388,have,conj,8
389,have,mark,6
390,have,advmod,16
391,have,ccomp,6
392,have,expl,1
393,have,aux,12
394,have,npadvmod,3
395,have,neg,3
396,frequent,COUNT,1
397,frequent,nsubjpass,1
398,frequent,aux,1
399,frequent,auxpass,1
400,frequent,agent,1
401,locate,COUNT,144
402,locate,prep,152
403,locate,advmod,16
404,locate,nsubjpass,30
405,locate,auxpass,30
406,locate,cc,12
407,locate,conj,12
408,locate,npadvmod,3
409,locate,advcl,2
410,locate,mark,2
411,locate,ccomp,1
412,locate,aux,1
413,locate,neg,1
414,locate,dobj,3
415,locate,nsubj,2
416,found,COUNT,25
417,found,agent,14
418,found,prep,21
419,found,nsubjpass,3
420,found,auxpass,4
421,found,xcomp,1
422,found,dep,1
423,found,nsubj,3
424,found,npadvmod,1
425,found,dobj,2
426,found,advmod,1
427,play,COUNT,433
428,play,prep,454
429,play,dobj,34
430,play,nsubj,42
431,play,advcl,14
432,play,nsubjpass,103
433,play,auxpass,112
434,play,npadvmod,12
435,play,advmod,13
436,play,aux,19
437,play,conj,26
438,play,mark,58
439,play,cc,23
440,play,meta,1
441,play,amod,2
442,play,ccomp,1
443,play,agent,12
444,play,det,1
445,publish,COUNT,67
446,publish,nsubjpass,13
447,publish,auxpass,14
448,publish,prep,51
449,publish,agent,27
450,publish,npadvmod,3
451,publish,nsubj,4
452,publish,dobj,5
453,publish,advmod,10
454,publish,aux,1
455,publish,mark,1
456,publish,ccomp,2
457,publish,cc,2
458,publish,conj,2
459,publish,advcl,1
460,vote,COUNT,14
461,vote,nsubjpass,2
462,vote,auxpass,2
463,vote,oprd,2
464,vote,prep,13
465,vote,aux,5
466,vote,nsubj,7
467,vote,advcl,4
468,vote,agent,1
469,vote,cc,2
470,vote,conj,2
471,vote,npadvmod,2
472,vote,dobj,1
473,purchase,COUNT,6
474,purchase,advmod,2
475,purchase,agent,1
476,purchase,nsubjpass,4
477,purchase,auxpass,4
478,purchase,cc,2
479,purchase,conj,2
480,purchase,prep,4
481,purchase,nsubj,1
482,purchase,dobj,1
483,derive,COUNT,3
484,derive,nsubjpass,2
485,derive,auxpass,2
486,derive,prep,3
487,replace,COUNT,17
488,replace,ccomp,1
489,replace,nsubjpass,6
490,replace,aux,7
491,replace,auxpass,6
492,replace,prep,9
493,replace,advmod,5
494,replace,nsubj,3
495,replace,dobj,10
496,replace,advcl,2
497,replace,agent,4
498,replace,mark,3
499,allow,COUNT,11
500,allow,nsubj,2
501,allow,dobj,2
502,allow,aux,2
503,allow,ccomp,4
504,allow,meta,1
505,allow,cc,1
506,allow,conj,1
507,allow,nsubjpass,2
508,allow,auxpass,2
509,allow,neg,1
510,allow,xcomp,2
511,allow,prep,2
512,accept,COUNT,9
513,accept,ccomp,2
514,accept,nsubj,3
515,accept,dobj,3
516,accept,prep,5
517,accept,cc,2
518,accept,conj,2
519,accept,nsubjpass,5
520,accept,auxpass,5
521,accept,advmod,3
522,accept,aux,1
523,accept,advcl,2
524,accept,npadvmod,1
525,become,COUNT,72
526,become,acomp,8
527,become,advcl,8
528,become,advmod,11
529,become,nsubj,45
530,become,attr,58
531,become,prep,20
532,become,meta,2
533,become,aux,14
534,become,cc,5
535,become,conj,6
536,become,neg,2
537,become,xcomp,1
538,become,npadvmod,8
539,become,dep,1
540,become,mark,3
541,compete,COUNT,205
542,compete,mark,3
543,compete,prep,128
544,compete,nsubj,187
545,compete,advcl,9
546,compete,nummod,1
547,compete,npadvmod,2
548,compete,aux,20
549,compete,cc,11
550,compete,conj,12
551,compete,amod,1
552,compete,neg,1
553,compete,advmod,5
554,compete,dobj,3
555,compete,xcomp,1
556,compete,ccomp,1
557,compete,meta,1
558,refer,COUNT,31
559,refer,advmod,13
560,refer,prep,46
561,refer,nsubj,26
562,refer,advcl,4
563,refer,ccomp,1
564,refer,conj,6
565,refer,nsubjpass,2
566,refer,auxpass,2
567,refer,cc,3
568,refer,aux,1
569,refer,meta,1
570,refer,parataxis,1
571,submit,COUNT,13
572,submit,prep,21
573,submit,nsubjpass,11
574,submit,auxpass,11
575,submit,agent,1
576,submit,nsubj,1
577,submit,dobj,1
578,follow,COUNT,118
579,follow,nsubj,14
580,follow,advmod,3
581,follow,prep,9
582,follow,agent,8
583,follow,ccomp,1
584,follow,det,1
585,follow,nmod,1
586,follow,amod,1
587,follow,dobj,55
588,follow,cc,58
589,follow,conj,59
590,follow,pobj,44
591,follow,advcl,3
592,follow,aux,1
593,follow,npadvmod,1
594,follow,nsubjpass,2
595,follow,auxpass,2
596,follow,mark,2
597,work,COUNT,10
598,work,det,1
599,work,compound,1
600,work,prep,12
601,work,advmod,5
602,work,nsubj,5
603,work,mark,1
604,work,dobj,1
605,work,aux,2
606,work,npadvmod,2
607,approve,COUNT,9
608,approve,cc,2
609,approve,prep,5
610,approve,advcl,2
611,approve,nsubjpass,3
612,approve,auxpass,3
613,approve,agent,2
614,approve,conj,2
615,approve,nsubj,1
616,approve,xcomp,1
617,approve,dep,1
618,author,COUNT,2
619,author,nsubjpass,1
620,author,auxpass,1
621,author,agent,2
622,author,advcl,1
623,cover,COUNT,17
624,cover,nsubj,2
625,cover,dobj,12
626,cover,prep,6
627,cover,cc,1
628,cover,conj,1
629,cover,nsubjpass,3
630,cover,auxpass,2
631,cover,agent,1
632,cover,npadvmod,2
633,cover,aux,3
634,cover,meta,2
635,cover,advmod,1
636,contain,COUNT,20
637,contain,nsubj,9
638,contain,dobj,17
639,contain,prep,5
640,contain,ccomp,1
641,contain,nsubjpass,1
642,contain,auxpass,1
643,consist,COUNT,80
644,consist,prep,82
645,consist,nsubj,56
646,consist,advcl,1
647,consist,npadvmod,1
648,consist,det,1
649,consist,agent,1
650,consist,meta,28
651,band,COUNT,1
652,band,appos,1
653,instal,COUNT,3
654,instal,aux,2
655,instal,auxpass,3
656,instal,prep,2
657,instal,nsubjpass,2
658,instal,cc,1
659,instal,conj,1
660,instal,advcl,1
661,seek,COUNT,5
662,seek,aux,1
663,seek,auxpass,2
664,seek,nsubjpass,1
665,seek,nsubj,1
666,seek,advmod,2
667,seek,dobj,1
668,seek,prep,1
669,seek,xcomp,2
670,sponsor,COUNT,16
671,sponsor,cc,1
672,sponsor,conj,1
673,sponsor,advmod,1
674,sponsor,agent,7
675,sponsor,nsubj,1
676,train,COUNT,14
677,train,agent,1
678,train,aux,9
679,train,auxpass,3
680,train,prep,4
681,train,npadvmod,1
682,train,dobj,8
683,train,nsubjpass,2
684,train,advmod,2
685,train,nsubj,2
686,train,advcl,3
687,train,mark,1
688,integrate,COUNT,2
689,integrate,nsubjpass,2
690,integrate,auxpass,2
691,integrate,prep,3
692,call,COUNT,31
693,call,oprd,22
694,call,advmod,16
695,call,nsubj,10
696,call,quantmod,1
697,call,conj,2
698,call,prep,7
699,call,nsubjpass,4
700,call,auxpass,5
701,call,aux,2
702,call,dobj,2
703,call,meta,2
704,call,agent,1
705,call,xcomp,1
706,speak,COUNT,10
707,speak,npadvmod,2
708,speak,nsubj,4
709,speak,dobj,3
710,speak,prep,4
711,speak,agent,1
712,speak,mark,1
713,speak,nsubjpass,1
714,speak,auxpass,1
715,direct,COUNT,140
716,direct,agent,135
717,direct,prep,8
718,direct,cc,56
719,direct,conj,55
720,direct,det,1
721,direct,amod,1
722,direct,nsubjpass,2
723,direct,auxpass,2
724,direct,mark,1
725,direct,aux,1
726,direct,subtok,1
727,coincide,COUNT,2
728,coincide,aux,1
729,coincide,prep,3
730,coincide,nsubj,1
731,form,COUNT,94
732,form,prep,116
733,form,aux,5
734,form,dobj,15
735,form,cc,21
736,form,conj,21
737,form,nsubjpass,33
738,form,auxpass,34
739,form,advmod,10
740,form,advcl,5
741,form,npadvmod,2
742,form,agent,6
743,form,nsubj,11
744,form,oprd,1
745,form,xcomp,4
746,form,ccomp,2
747,form,nummod,1
748,form,mark,1
749,serialize,COUNT,2
750,serialize,auxpass,1
751,serialize,prep,1
752,advertise,COUNT,2
753,advertise,nsubjpass,2
754,advertise,aux,1
755,advertise,auxpass,2
756,advertise,prep,2
757,advertise,cc,1
758,advertise,conj,1
759,collect,COUNT,9
760,collect,prep,7
761,collect,nsubjpass,1
762,collect,auxpass,1
763,collect,dobj,3
764,provide,COUNT,32
765,provide,nsubj,16
766,provide,dobj,26
767,provide,cc,2
768,provide,conj,1
769,provide,advmod,2
770,provide,prep,9
771,provide,dative,1
772,provide,nsubjpass,5
773,provide,aux,6
774,provide,auxpass,5
775,provide,agent,5
776,provide,advcl,2
777,provide,ccomp,1
778,air,COUNT,47
779,air,advmod,7
780,air,prep,54
781,air,cc,4
782,air,conj,4
783,air,nsubj,25
784,air,mark,1
785,air,agent,2
786,air,dobj,5
787,air,aux,4
788,air,nsubjpass,5
789,air,auxpass,6
790,air,advcl,1
791,air,neg,1
792,watch,COUNT,5
793,watch,prep,4
794,watch,auxpass,1
795,watch,agent,1
796,watch,nsubj,3
797,watch,dobj,4
798,watch,advcl,1
799,watch,neg,1
